"S No","Name","Author","Circulation Status","Reading Level","Basket Number","Comments"
1000,"The Gita","Amar Chitra Katha","Yes",5,"1N",
1001,"Angulimala","Amar Chitra Katha","Yes",3,"1A",
1002,"Jataka Tales","Amar Chitra Katha","Yes",3,"3G",
1003,"Mathatma Gandhi","Amar Chitra Katha","Yes",2,"2J",
1004,"Panchatantra(The Jackal And Wardrum)","Amar Chitra Katha","Missing",3,"4L",
1005,"Swami Chinmayananda","Amar Chitra Katha","Yes",5,"3D",
1006,"Lal Bahadur Shastri","Amar Chitra Katha","Yes",3,"1P","Check basket"
1007,"Tales Of Sai Baba","Amar Chitra Katha","Yes",1,"2C",
1008,"The Acrobat","Amar Chitra Katha","Yes",4,"3M",
1009,"Jnaneshwar","Amar Chitra Katha","Yes",4,"5M",
1010,"Tales Of Shiva","Amar Chitra Katha","Yes",4,"5V",
1011,"Aniruddha","Amar Chitra Katha","Yes",3,"5P",
1012,"Amrapali ","Amar Chitra Katha","Yes",3,"5W",
1013,"Ratnavali","Amar Chitra Katha","Yes",4,"4J",
1014,"Lachit Barphukan","Amar Chitra Katha","Yes",5,"5N","Check basket"
1015,"Harsha","Amar Chitra Katha","Yes",1,"3U",
1016,"The GreatHindi Poets","Amar Chitra Katha","Yes",4,"1T",
1017,"Biggles","E.Loutte,M.Oleffe","Yes",1,"4S",
1018,"The Parrot And The Fig Tree","michael Harman","Yes",2,"1C",
1019,"Never Poke A Squid","Denys Cazet","Yes",4,"1R",
1020,"Dinosaur","Julie Michaels","Yes",2,"3P",
1021,"Phantom The Hall Ween Gang","No…..","Yes",2,"5O",
1022,"Phantom The Barbary Pirates","No…..","Yes",4,"2D",
1023,"The three Brother","Brothers Grimms","Yes",2,"4R",
1024,"Haunted House Mystery","No…..","Yes",2,"4P",
1025,"Phantom The Lethal Science","No…..","Yes",5,"1O",
1026,"Arthur's baby","Marc Brown","Yes",1,"3D",
1027,"The Kissing Hand","Audrey Penn","Yes",4,"1G",
1028,"Love Your Neighbor","Arthur Dobrin","Yes",4,"5U",
1029,"Ideal Stories For Kids","No…..","Yes",1,"4V",
1030,"Weeding Clothes","Asha Nehemiah","Yes",3,"2F",
1031,"Ekki Dokki","Sandhya Rao,Ranjan De","Yes",4,"4M",
1032,"IT's Check-up Time Elmo","Sarah Albee","Yes",4,"5K",
1033,"Vacation","Molly wigand","Yes",5,"1Z",
1034,"Snoring Shanmugam","Radhika Chadha","Yes",5,"3H",
1035,"Magic School bus Makes a Rainbow","Joanna Cole","Yes",1,"4B",
1036,"Tenalirama  ( 5 )","Yogesh Joshi","Yes",5,"5L",
1037,"Jake & Zee","Judith McGuinn","Yes",3,"3C",
1038,"The Crows And The serpent","Naseeruddin Shah","Missing",2,"3G",
1039,"Tenalirama  ( 4 )","Yogesh Joshi","Yes",3,"4F",
1040,"Ramayana For Children","Dharmendra Roy","Yes",2,"5X",
1041,"The fox And The Squirrel","Saeed Jaffrey","Yes",5,"4G",
1042,"Plenty Of Pelly And Peak","Sally Wittman","Yes",3,"1X",
1043,"Surprise Angelica","Becky Gold","Yes",3,"3A",
1044,"Oliver Pig At School","Jean Van Leeuwen","Yes",2,"4D",
1045,"Magic Secrets","Rose Wyler And Gerald Ames","Yes",3,"5Z","Check basket"
1046,"Molly's Magic Carpet","Emma Fischel","Yes",5,"2M",
1047,"Dinosaur Days","Joyce Milton","Yes",3,"3I",
1048,"The Best Mistake Ever","Richard Scarry","Yes",1,"5R",
1049,"Noddy Loses Sixpence","Enid Blyton","Yes",4,"2J",
1050,"The Mystery Of the Pirate Ghost","Geoffrey Hayes","Yes",4,"5Y",
1051,"Fox And His Friends","Edward Marshall","Yes",4,"3V",
1052,"Alligator Tails And Crocodile Cakes","Nicola moon","Yes",3,"3A",
1053,"Noddy To The Rescue","Enid Blyton","Yes",3,"5A",
1054,"Mulberry Street","Dr.Seuss","Yes",4,"2R",
1055,"Madeline Say merci","John bemelmans Marciano","Yes",5,"2C",
1056,"Marie Curie Brave Scientist","Keith brandt And Joanne Mattern","Yes",1,"3Z",
1057,"Harold At The North Pole","Crockett Johnson","Yes",4,"2P",
1058,"Teach us Amelia Bedelia","Peggy Parish","Yes",1,"5W",
1059,"Cam Jansen and the Mystery Of…..","David A.Adler","Yes",2,"4O",
1060,"Noddy Look Out,Noddy","Enid Blyton","Yes",4,"5M",
1061,"The frog And Toad Treasury","Arnold Lobel","Yes",2,"3H",
1062,"Volcanoes Mountains of Fire","Eric Arnold","Yes",2,"5A",
1063,"Monster Bugs","Lucille Recht Penner","Yes",4,"4V",
1064,"The Dindsaurs Next Door","Harriet Castor","Yes",2,"4X",
1065,"Junk, Sweet Junk","Molly Wigand","Yes",2,"1R",
1066,"Mr. Putter & Tabby Row The Boat","Arthur  Howard","Yes",5,"5P",
1067,"Big Max","Kin Platt","Yes",1,"3H","Book Turn up"
1068,"Play Ball, Amelia Bedelia","Peggy Parish","Yes",4,"4K",
1069,"Thomas Alva EdisonInventor","Margaret Davidson","Yes",4,"2X",
1070,"Timmy's School Survival Hand Book","Sarah Willson","Yes",1,"1N",
1071,"Tinkle Double Digest","No…..","Missing",3,"5Q","Prize Bnj school ju"
1072,"Tinkle Digest (Vol.10)","No…..","Missing",4,"3I",
1073,"Tinkle Digest ( August-2008)","No…..","Yes",4,"2J",
1074,"Tinkle Digest (Vol.1 No17)","No…..","Yes",5,"1W",
1075,"Tinkle Digest (Vol.2 No.1)","No…..","Yes",5,"5D",
